Dataset,PMID,Title,Journal,Year
UK Biobank,38198570,Prospective study design and data analysis in UK Biobank.,Science translational medicine,2024
UK Biobank,37675869,Association between metabolic syndrome and risk of incident dementia in UK Biobank.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024
UK Biobank,39278973,"A metabolomic profile of biological aging in 250,341 individuals from the UK Biobank.",Nature communications,2024
ADNI,37698424,The Alzheimer's Disease Neuroimaging Initiative in the era of Alzheimer's disease treatment: A review of ADNI studies from 2021 to 2022.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024
ADNI,39140398,The informatics of ADNI.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024
ADNI,39258539,Overview of ADNI MRI.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024
NACC,35041578,The Neurostimulation Appropriateness Consensus Committee (NACC): Recommendations for Surgical Technique for Spinal Cord Stimulation.,Neuromodulation : journal of the International Neuromodulation Society,2022
NACC,32091103,NACC-1 regulates hepatocellular carcinoma cell malignancy and is targeted by miR-760.,Acta biochimica et biophysica Sinica,2020
NACC,17804958,The National Alzheimer's Coordinating Center (NACC) database: the Uniform Data Set.,Alzheimer disease and associated disorders,2007
ROSMAP,39351424,The ROSMAP project: aging and neurodegenerative diseases through omic sciences.,Frontiers in neuroinformatics,2024
ROSMAP,36385530,Medin co-aggregates with vascular amyloid-β in Alzheimer's disease.,Nature,2022
ROSMAP,38714706,Metabolic phenotyping reveals an emerging role of ammonia abnormality in Alzheimer's disease.,Nature communications,2024
ARIC,37254192,APSIC guide for prevention of catheter associated urinary tract infections (CAUTIs).,Antimicrobial resistance and infection control,2023
ARIC,31131107,Antibiotics versus biofilm: an emerging battleground in microbial communities.,Antimicrobial resistance and infection control,2019
ARIC,31749962,APSIC guidelines for the prevention of surgical site infections.,Antimicrobial resistance and infection control,2019
BIOCARD,33397713,ESGO/ESTRO/ESP guidelines for the management of patients with endometrial carcinoma.,International journal of gynecological cancer : official journal of the International Gynecological Cancer Society,2021
BIOCARD,35262657,"Characterizing Heterogeneity in Neuroimaging, Cognition, Clinical Symptoms, and Genetics Among Patients With Late-Life Depression.",JAMA psychiatry,2022
BIOCARD,28968586,Cognitive reserve and long-term change in cognition in aging and preclinical Alzheimer's disease.,Neurobiology of aging,2017
HABS,38068573,Review of Harmful Algal Blooms (HABs) Causing Marine Fish Kills: Toxicity and Mitigation.,"Plants (Basel, Switzerland)",2023
HABS,32383649,Biotic control of harmful algal blooms (HABs): A brief review.,Journal of environmental management,2020
HABS,37119149,HABs Karenia brevis and Pseudo-nitzschia pre- and post-Hurricane Michael.,Journal of water and health,2023
OASIS,39172446,Elinzanetant for the Treatment of Vasomotor Symptoms Associated With Menopause: OASIS 1 and 2 Randomized Clinical Trials.,JAMA,2024
OASIS,26907748,Introducing the Open Affective Standardized Image Set (OASIS).,Behavior research methods,2017
OASIS,38215153,CREB3L1/OASIS: cell cycle regulator and tumor suppressor.,The FEBS journal,2024
MCSA,37461495,Hip thrust and back squat training elicit similar gluteus muscle hypertrophy and transfer similarly to the deadlift.,bioRxiv : the preprint server for biology,2023
MCSA,37144554,"The effects of resistance training to near failure on strength, hypertrophy, and motor unit adaptations in previously trained adults.",Physiological reports,2023
MCSA,38249092,Exercise-Induced Asthma: Managing Respiratory Issues in Athletes.,Journal of functional morphology and kinesiology,2024
WRAP,31908391,Wrap choice during fundoplication.,World journal of gastroenterology,2019
WRAP,29609098,The sentence wrap-up dogma.,Cognition,2018
WRAP,34781406,Wrap-Clipping for Patients with Ruptured Blood Blister-Like Aneurysms of the Internal Carotid Artery: Case Series and Literature Review.,"Journal of neurological surgery. Part A, Central European neurosurgery",2022
PREVENT,36028160,Preventing postpartum hemorrhage with combined therapy rather than oxytocin alone.,American journal of obstetrics & gynecology MFM,2023
PREVENT,36280532,Development of mRNA vaccines against respiratory syncytial virus (RSV).,Cytokine & growth factor reviews,2022
PREVENT,39142043,Methods to prevent lymphocele after kidney transplantation: Seeking the optimal technique for avoiding a preventable complication.,"Transplantation reviews (Orlando, Fla.)",2024
DIAN,28739983,[DIAN/DIAN-J/DIAN-TU].,Brain and nerve = Shinkei kenkyu no shinpo,2017
DIAN,24101429,[The DIAN study].,Brain and nerve = Shinkei kenkyu no shinpo,2013
DIAN,32492406,Proteomic and Metabolomic Characterization of COVID-19 Patient Sera.,Cell,2020
A4,39941782,Adoptive T Cell Therapy Targeting MAGE-A4.,Cancers,2025
A4,30058075,Leukotriene A4 hydrolase: an emerging target of natural products for cancer chemoprevention and chemotherapy.,Annals of the New York Academy of Sciences,2018
A4,39071307,MAGE-A4-Responsive Plasma Cells Promote Non-Small Cell Lung Cancer.,bioRxiv : the preprint server for biology,2024
LEADS,33652454,Pathophysiology of sepsis.,Current opinion in anaesthesiology,2021
LEADS,29370904,Leads leading leaflets to leak.,The Journal of thoracic and cardiovascular surgery,2018
HRS,38246506,Hepatorenal Syndrome in Cirrhosis.,Gastroenterology,2024
HRS,37982156,Securing the diagnosis of HRS-AKI: implications for current therapies.,Expert review of gastroenterology & hepatology,2023
HRS,30213943,Hepatorenal syndrome.,Nature reviews. Disease primers,2018
APOE4,36614219,Apoe4 and Alzheimer's Disease Pathogenesis-Mitochondrial Deregulation and Targeted Therapeutic Strategies.,International journal of molecular sciences,2023
APOE4,33658354,,Science translational medicine,2021
APOE4,29861287,APOE4 Causes Widespread Molecular and Cellular Alterations Associated with Alzheimer's Disease Phenotypes in Human iPSC-Derived Brain Cell Types.,Neuron,2018
NIAGADS,39417134,NIAGADS: A Comprehensive National Data Repository for Alzheimer's Disease and Related Dementia Genetics and Genomics Research.,medRxiv : the preprint server for health sciences,2024
NIAGADS,37881831,NIAGADS Alzheimer's GenomicsDB: A resource for exploring Alzheimer's disease genetic and genomic knowledge.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2024
NIAGADS,40545618,NIAGADS: A data repository for Alzheimer's disease and related dementia genomics.,Alzheimer's & dementia : the journal of the Alzheimer's Association,2025
Alzheimer Prevention Trials (APT) Webstudy,32920623,Recruitment into the Alzheimer Prevention Trials (APT) Webstudy for a Trial-Ready Cohort for Preclinical and Prodromal Alzheimer's Disease (TRC-PAD).,The journal of prevention of Alzheimer's disease..,2020
Alzheimer Prevention Trials (APT) Webstudy,32920621,The Trial-Ready Cohort for Preclinical/Prodromal Alzheimer's Disease (TRC-PAD) Project: An Overview.,The journal of prevention of Alzheimer's disease..,2020
Alzheimer Prevention Trials (APT) Webstudy,32920625,The Trial-Ready Cohort for Preclinical and Prodromal Alzheimer's Disease (TRC-PAD): Experience from the First 3 Years.,The journal of prevention of Alzheimer's disease..,2020
SCAN DATA,38630236,CT Scan Data Analysis in Malformations of Cortical Development.,"Methods in molecular biology (Clifton, N.J.)",2024
SCAN DATA,36175526,A tree-based scan statistic for zero-inflated count data in post-market drug safety surveillance.,Scientific reports,2022
SCAN DATA,29871009,[Lung scintigraphy].,Nuklearmedizin. Nuclear medicine,2018
MAYO RNAseq Study,35599179,The heterogeneity of cellular senescence: insights at the single-cell level.,Trends in cell biology,2023
MAYO RNAseq Study,34263179,KDM4 Orchestrates Epigenomic Remodeling of Senescent Cells and Potentiates the Senescence-Associated Secretory Phenotype.,Nature aging,2021
MAYO RNAseq Study,36632223,Enhancer RNA promotes resistance to radiotherapy in bone-metastatic prostate cancer by m,Theranostics,2023
HELIAD,34759053,Diet Inflammatory Index and Dementia Incidence: A Population-Based Study.,Neurology,2021
HELIAD,32761172,Frailty and Prodromal Parkinson's Disease: Results From the HELIAD Study.,"The journals of gerontology. Series A, Biological sciences and medical sciences",2021
HELIAD,36281679,Objective and Subjective Measurements of Motor Function: Results from the HELIAD Study.,The journal of prevention of Alzheimer's disease..,2022
PHARMACOG,30958385,One Step Forward Toward a Surrogate Endpoint for Clinical Trials of Alzheimer's Disease Drugs: The Results of PharmaCog WP5 (European ADNI).,Journal of Alzheimer's disease : JAD,2019
PHARMACOG,31377262,Cyberecoethnopharmacolomics.,Journal of ethnopharmacology,2019
PHARMACOG,30149449,Plasma Aβ42 as a Biomarker of Prodromal Alzheimer's Disease Progression in Patients with Amnestic Mild Cognitive Impairment: Evidence from the PharmaCog/E-ADNI Study.,Journal of Alzheimer's disease : JAD,2019
I-ADNI,24577455,The Italian Alzheimer's Disease Neuroimaging Initiative (I-ADNI): validation of structural MR imaging.,Journal of Alzheimer's disease : JAD,2014
ARWIBO,34262425,Norms for Automatic Estimation of Hippocampal Atrophy and a Step Forward for Applicability to the Italian Population.,Frontiers in neuroscience,2021
API,35696082,iPTMnet RESTful API for Post-translational Modification Network Analysis.,"Methods in molecular biology (Clifton, N.J.)",2022
API,39630926,SmartGraph API: Programmatic Knowledge Mining in Network-Pharmacology Setting.,Journal of chemical information and modeling,2024
API,34378939,What Are the Important Factors That Influence API Crystallization in Miscible Amorphous API-Excipient Mixtures during Long-Term Storage in the Glassy State?,Molecular pharmaceutics,2022
LBLS,30655581,Real life Experience of Medical Cannabis Treatment in Autism: Analysis of Safety and Efficacy.,Scientific reports,2019
LBLS,39329449,DNA methylation as a new tool for the differential diagnosis between T-LBL and lymphocyte-rich thymoma.,The Journal of pathology,2024
LBLS,34646776,Radiotherapy Response Assessment of Multiple Myeloma: A Dual-Energy CT Approach With Virtual Non-Calcium Images.,Frontiers in oncology,2021
KAME,16945610,Fruit and vegetable juices and Alzheimer's disease: the Kame Project.,The American journal of medicine,2006
KAME,16185373,Alcohol and cognitive performance: a longitudinal study of older Japanese Americans. The Kame Project.,International psychogeriatrics,2005
KAME,29966533,Genomic characterization of colitis-associated colorectal cancer.,World journal of surgical oncology,2018
IIDP,39605606,Heterogeneous endocrine cell composition defines human islet functional phenotypes.,bioRxiv : the preprint server for biology,2024
IIDP,34846874,The Catalytic Asymmetric Intermolecular Prins Reaction.,Journal of the American Chemical Society,2021
IIDP,27547839,A General Catalytic Asymmetric Prins Cyclization.,Journal of the American Chemical Society,2016
KLOSCAD,37058304,Shared Risk Factors for Depressive Disorder Among Older Adult Couples in Korea.,JAMA network open,2023
KLOSCAD,38994939,Predicting Longitudinal Cognitive Decline and Alzheimer's Conversion in Mild Cognitive Impairment Patients Based on Plasma Biomarkers.,Cells,2024
KLOSCAD,34928355,Exploration of Cognitive Outcomes and Risk Factors for Cognitive Decline Shared by Couples.,JAMA network open,2021
LMRR,30794372,LmrR: A Privileged Scaffold for Artificial Metalloenzymes.,Accounts of chemical research,2019
LMRR,21330438,LmrR-mediated gene regulation of multidrug resistance in Lactococcus lactis.,"Microbiology (Reading, England)",2011
LMRR,25403615,Dynamic multidrug recognition by multidrug transcriptional repressor LmrR.,Scientific reports,2014
WLS,33853474,WLS/wntless is essential in controlling dendritic cell homeostasis via a WNT signaling-independent mechanism.,Autophagy,2021
